FIPS_Code,State,Area_name,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Median_Household_Income_2011,Med_HH_Income_Percent_of_StateTotal_2011
0,US,United States,154505871.0,140674478.0,13831393.0,9.0,50502.0,100.0
1000,AL,Alabama,2190519.0,1993977.0,196542.0,9.0,41427.0,100.0
1001,AL,Autauga County,25930.0,23854.0,2076.0,8.0,48863.0,117.9
1003,AL,Baldwin County,85407.0,78491.0,6916.0,8.1,50144.0,121.0
1005,AL,Barbour County,9761.0,8651.0,1110.0,11.4,30117.0,72.7
1007,AL,Bibb County,9216.0,8303.0,913.0,9.9,37347.0,90.2
1009,AL,Blount County,26347.0,24156.0,2191.0,8.3,41940.0,101.2
1011,AL,Bullock County,3762.0,3186.0,576.0,15.3,26038.0,62.9
1013,AL,Butler County,9311.0,8231.0,1080.0,11.6,30489.0,73.6
1015,AL,Calhoun County,53790.0,48846.0,4944.0,9.2,39060.0,94.3
1017,AL,Chambers County,14837.0,13148.0,1689.0,11.4,33500.0,80.9
1019,AL,Cherokee County,11696.0,10676.0,1020.0,8.7,34738.0,83.9
1021,AL,Chilton County,19913.0,18206.0,1707.0,8.6,38833.0,93.7
1023,AL,Choctaw County,5144.0,4557.0,587.0,11.4,32940.0,79.5
1025,AL,Clarke County,10130.0,8592.0,1538.0,15.2,32642.0,78.8
1027,AL,Clay County,5296.0,4673.0,623.0,11.8,32454.0,78.3
1029,AL,Cleburne County,6452.0,5917.0,535.0,8.3,39153.0,94.5
1031,AL,Coffee County,21871.0,20324.0,1547.0,7.1,42173.0,101.8
1033,AL,Colbert County,25208.0,22940.0,2268.0,9.0,37269.0,90.0
1035,AL,Conecuh County,4633.0,3949.0,684.0,14.8,26914.0,65.0
1037,AL,Coosa County,4588.0,4100.0,488.0,10.6,34391.0,83.0
1039,AL,Covington County,16808.0,15317.0,1491.0,8.9,32138.0,77.6
1041,AL,Crenshaw County,6818.0,6227.0,591.0,8.7,34534.0,83.4
1043,AL,Cullman County,38557.0,35435.0,3122.0,8.1,39395.0,95.1
1045,AL,Dale County,20790.0,19063.0,1727.0,8.3,41568.0,100.3
1047,AL,Dallas County,15335.0,12848.0,2487.0,16.2,25859.0,62.4
1049,AL,DeKalb County,29232.0,25954.0,3278.0,11.2,35487.0,85.7
1051,AL,Elmore County,35777.0,32803.0,2974.0,8.3,54866.0,132.4
1053,AL,Escambia County,14962.0,13390.0,1572.0,10.5,32838.0,79.3
1055,AL,Etowah County,45824.0,41662.0,4162.0,9.1,34927.0,84.3
1057,AL,Fayette County,6629.0,5939.0,690.0,10.4,32648.0,78.8
1059,AL,Franklin County,13538.0,12262.0,1276.0,9.4,33705.0,81.4
1061,AL,Geneva County,11347.0,10406.0,941.0,8.3,33835.0,81.7
